id;nom;prenom;role;disponibilite
1;drôlement comme commis de cuisine;de façon à ce que;puisque;true
2;magnifique oups;timide contre;deçà groin groin hi;true
3;comme équipe de recherche;encore amorphe;gens;true
4;ouin insolite détacher;équipe à côté de ouah;mince;false
5;sus euh;vétuste;à bas de gai rire;false
6;euh;aïe ouch outre;croâ guide;true
7;oups;enfiler sédentaire;miaou chef de cuisine;true
8;simplifier;grrr lâcher ha;désormais périr horrible;true
9;soigner tandis que à défaut de ;oh propre;en face de bon;true
10;au dépens de clac solitaire;de façon à ce que incognito;membre titulaire en dépit de;false
